study,method,seed,instance,K,L,net_profit,total_cost,quit_rate,avg_walk,menu_regret,top_L_overlap,spearman_cost_ranking,runtime_per_decision,train_episodes,test_episodes,candidate_pool_size,displayed_meeting_points,home_always_shown,status,notes
work2_main,Oracle Menu,0,RC,10,3,-5105.75944367764,5105.759443677641,0.3653743315508021,2337.7058823529414,92.77872961356698,1.0,1.0,0.0421646582251564,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,Oracle Menu,1,RC,10,3,-5085.425767392443,5085.425767392444,0.37981283422459894,2288.438502673797,78.35467082554223,1.0,1.0,0.03920238081784172,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,Oracle Menu,2,RC,10,3,-5138.799843030074,5138.799843030074,0.37700534759358295,2330.3743315508027,70.59398788749141,1.0,1.0,0.03927207069600967,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,CNN-SetMenuNet,0,RC,10,3,-5114.745734696496,5114.745734696496,0.36644385026737974,2317.524064171123,26.045995546470344,1.0,0.49913101604278076,0.04252541278772814,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,CNN-SetMenuNet,1,RC,10,3,-5082.598930533701,5082.598930533701,0.38315508021390376,2270.823529411765,25.247702355156896,1.0,0.5072192513368984,0.0401557777335937,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,CNN-SetMenuNet,2,RC,10,3,-5120.229264606343,5120.229264606343,0.3767379679144385,2346.3208556149734,22.536595379186004,1.0,0.46965240641711226,0.03839915777272719,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,CNN-Menu,0,RC,10,3,-5057.907319670912,5057.907319670912,0.34425133689839577,2626.5882352941176,27.78286155150024,1.0,0.6529411764705882,0.03738554171062408,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,CNN-Menu,1,RC,10,3,-5036.18839426591,5036.18839426591,0.36029411764705876,2648.1497326203207,23.59395252962792,1.0,0.697860962566845,0.03533041493140441,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,CNN-Menu,2,RC,10,3,-5043.023578913068,5043.023578913068,0.3606951871657754,2630.6470588235293,23.88571684926592,1.0,0.6827540106951873,0.033917415938912863,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,Cost-L heuristic,0,RC,10,3,-5064.6825468511115,5064.6825468511115,0.3425133689839572,2529.320855614973,27.41699945961161,1.0,0.22673796791443848,0.037273376032630395,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,Cost-L heuristic,1,RC,10,3,-5049.6742041216285,5049.6742041216285,0.36096256684491984,2466.1283422459896,23.801537401751034,1.0,0.3917780748663101,0.03583488738473086,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,Cost-L heuristic,2,RC,10,3,-5028.550974577282,5028.5509745772815,0.3553475935828877,2503.7326203208554,23.16264036714722,1.0,0.2778074866310161,0.030170698185018042,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,Nearest-L,0,RC,10,3,-5053.067683996485,5053.067683996485,0.3486631016042781,1578.0481283422462,20.488136769239397,1.0,0.36016042780748664,0.03770629460798865,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,Nearest-L,1,RC,10,3,-5007.041056530495,5007.041056530495,0.3696524064171123,1548.5454545454545,18.68614006829039,1.0,0.38288770053475935,0.0364718631627088,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
work2_main,Nearest-L,2,RC,10,3,-4987.250443254978,4987.250443254978,0.3691176470588235,1537.2352941176473,19.083787733801564,1.0,0.3463235294117647,0.029196487104191503,80,20,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
